fragment,old name,SAMPLED,AREA,PERIMETER,DIST_TO_BILSA,UTM1_CENTROID,UTM2_CENTROID,ELEV_DEM,TWI_DEM,SLOPE_DEM,ASPECT_DEM,LOSS_2000_2013_1KM,COVER_2000_1KM,FCL,PRECIP,TEMP,GREEN_CENTER,GREEN_LOW,UTM1,UTM2,ELEV,CAN,TEN,FIFTY,CECR,SLO,GAP,SCOPE,DIST_TO_EDGE,FCL_NO_FRAG
1,Taguales1 Lorito,2015,46.42,,3601.6,643850,44490,378.18,4.27,7.3,159.24,0.209,89.54,0.545956952,1988,24,66,62,,,,,,,,,,,,
2,Taguales2,2015,36.31,,2775.3,642494,44236,341.22,4.34,6.23,270.22,0.105,91.207,0.7004662,1970,23.9,63,57,,,,,,,,,,,,
4,,2014,21.31,2130.644,5467,650436,42225,376.47,4.52,8.1,155.31,0.069,91.415,0.685822637,2153,23.8,39,5,650450.93,42353.58,374.41,28.98,1.36,0.17,0.02,28.78,0.14,2.91,111.51,0.616394399
8,,2014,20.51,3036.696,6243,651787,41085,345.88,3.16,11.55,62.84,0.085,91.667,0.664237832,2116,24.2,73,24,651836.79,41091.33,232.78,20.42,1.33,0.11,0.1,32.81,0.12,2.43,91.08,0.597493442
10,,2014,11.65,1980.814,7153.2,651971,42944,435.7,3.06,10.06,156.46,0.047,88.439,0.672102504,2135,24,12,8,651940.65,42846.92,374.63,24.59,1.74,0.12,0.09,18.21,0.17,3.13,63.64,0.635119394
12,,2014,21.4,2221.486,1001.2,646835,38979,601.92,3.13,10.28,65.74,0.046,91.194,0.666182452,2222,23.1,56,32,646818.75,38899.66,518.81,28.39,1.33,0.16,0.02,21.78,0.14,3.33,101.12,0.597327135
13,,2014,6.75,1147.729,1287.5,646981,38482,598.59,2.94,10.66,142.47,0.047,83.802,0.530113471,2280,22.8,54,20,646976.86,38485.68,537.57,24.04,1.44,0.2,0.07,22.57,0.13,2.86,59.92,0.508001164
23,,2014,24.85,2758.509,7576.2,652747,42344,309.06,3.16,12.01,157.72,0.081,93.5,0.737685806,2128,24.2,42,6,652780.71,42530.74,364.47,23.24,1.67,0.24,0,19,0.1,2.21,84.37,0.656368406
24,,2014,23.37,2475.619,9955.4,655681,40722,264.4,2.91,14.52,195.76,0.075,92.98,0.767211202,2171,24.3,6,1,655736.95,40663.07,239.34,27.34,1.14,0.13,0.04,23.76,0.12,3.15,111.13,0.690198366
34,,2014,29.7,2577.156,561.6,643521,36569,523.91,3.24,15.78,138.66,0.042,91.004,0.703229561,2182,23,61,6,643471.58,36524.84,550.01,24.12,1.4,0.28,0.09,15.89,0.11,3.07,130.98,0.606924644
39,,2014,27.76,2791.475,323.2,644184,37615,601.17,2.89,13.53,166.54,0.039,84.425,0.615519253,2221,22.8,79,36,644112.69,37645.38,591.88,24.56,0.98,0.11,0.18,27.08,0.07,3.25,135.95,0.52537923
41,,2014,2.67,810.617,1141,646310,38018,543.93,2.6,12.03,154.36,0.052,84.679,0.518939394,2268,22.7,41,18,646303.23,37992.13,546.78,27.86,1,0.14,0,23.68,0.14,3.16,31.13,0.510780886
56,,2014,14.15,1783.013,10177.4,655948,40421,313.26,3.32,6.22,234,0.075,92.79,0.757655293,2195,24.3,61,18,655976.38,40463.94,236.35,26.12,1.1,0.2,0.01,28.96,0.14,3.33,88.52,0.710994459
58,,2014,4.23,876.232,10895.3,656608,40877,248.87,2.58,10.02,217.92,0.088,83.168,0.546460821,2110,24.7,53,10,656628.9,40869.67,217.38,25.25,1.01,0.13,0,31.82,0.11,3.22,44.83,0.533061462
63,,2014,8.31,1389.13,14144,659644,42281,143.72,5.02,5.7,124.02,0.104,84.867,0.444444444,2144,24.9,48,27,659639.27,42241.85,174.72,21.28,1.08,0.12,0.04,23.18,0.13,3.68,47.82,0.4176847
75,,2014,33.6,2961.249,7606.5,651981,43771,394.14,4.38,6.37,241.25,0.1,90.303,0.670160116,2128,24,18,20,652055.98,43817.36,399.57,26.56,1.43,0.21,0.03,22.04,0.18,2.72,140.79,0.561280932
