trapping_period,fragment,location_on_transect,utm1,utm2,elev,date_time_placed,time_placed,date_placed,date_time_removed,time_removed,date_removed,trap_duration_days,canopy height,canopy scope,ten,fifty,cecropia,miconia,slope,topography,gap,understory,habitat notes,notas,problem
TP-062,4,0,650443,42568,425,2014-08-02T11:35:00Z,11:35:00,2-Aug-14,2014-08-24T11:10:00Z,11:10:00,24-Aug-14,21.98263889,25,1,0,0,0,0,25,4,0,medium,NA,Left side of transect; did not turn on when removed on 24-Aug-2014,TP ends at last taken video
TP-063,4,60,650460,42511,412,2014-08-02T11:46:00Z,11:46:00,2-Aug-14,2014-08-24T11:16:00Z,11:16:00,24-Aug-14,21.97916667,17,1,0,0,0,0,25,4,0,medium,NA,Left side of transect,NA
TP-064,4,120,650473,42450,388,2014-08-02T11:54:00Z,11:54:00,2-Aug-14,2014-08-12T08:45:00Z,8:45:00,12-Aug-14,9.86875,20,2,1,0,0,0,42,4,0,medium,NA,Right side of transect,NA
TP-065,4,300,650451,42303,364,2014-08-02T12:23:00Z,12:23:00,2-Aug-14,2014-08-12T08:16:00Z,8:16:00,12-Aug-14,9.828472222,22,2,2,0,0,0,1,3,0,medium,NA,Left side of transect; close to mist net lanes,NA
TP-066,4,360,650430,42241,356,2014-08-02T12:35:00Z,12:35:00,2-Aug-14,2014-08-24T11:39:00Z,11:39:00,24-Aug-14,21.96111111,35,1,1,0,0,0,20,2,0,medium,NA,"Right side of transect, near mist net trail",NA
TP-067,4,420,650442,42192,348,2014-08-02T12:43:00Z,12:43:00,2-Aug-14,2014-08-24T11:44:00Z,11:44:00,24-Aug-14,21.95902778,34,2,0,0,0,0,40,2,0,medium,NA,Right side of transect,AM and PM Flipped
TP-068,4,480,650427,42127,343,2014-08-02T12:50:00Z,12:50:00,2-Aug-14,2014-08-24T11:48:00Z,11:48:00,24-Aug-14,21.95694444,34,2,1,0,0,0,18,2,0,medium,NA,Right side of transect,NA
TP-069,23,0,652801,42730,385,2014-08-04T12:51:00Z,12:51:00,4-Aug-14,2014-08-25T09:45:00Z,9:45:00,25-Aug-14,20.87083333,17,1,1,0,0,0,9,5,0,medium,NA,"left side of trasect, waypoint 584",NA
TP-070,23,60,652801,42675,376,2014-08-04T12:47:00Z,12:47:00,4-Aug-14,2014-08-18T08:19:00Z,8:19:00,18-Aug-14,13.81388889,24,1,2,0,0,0,8,5,0,low,NA,"left sde f transect, wapoint 583; didn't turn on when removed on 25 Aug 2014",NA
TP-071,23,120,652787,42622,381,2014-08-04T12:42:00Z,12:42:00,4-Aug-14,2014-08-25T10:11:00Z,10:11:00,25-Aug-14,20.89513889,29,1,0,1,0,0,15,4,0,low,NA,"left side of transect, waypoint 582",NA
TP-072,23,180,652792,42577,389,2014-08-04T12:37:00Z,12:37:00,4-Aug-14,2014-08-25T10:20:00Z,10:20:00,25-Aug-14,20.90486111,20,1,0,1,0,0,19,4,0,medium,NA,"left side, 581",NA
TP-073,23,240,652805,42529,366,2014-08-04T12:30:00Z,12:30:00,4-Aug-14,2014-08-25T10:26:00Z,10:26:00,25-Aug-14,20.91388889,31,2,0,0,0,0,47,4,0,medium,NA,"right side, 580",NA
TP-074,23,300,652796,42484,342,2014-08-04T12:20:00Z,12:20:00,4-Aug-14,2014-08-25T10:43:00Z,10:43:00,25-Aug-14,20.93263889,33,1,0,0,0,0,15,2,0,medium,NA,"left side, 579",NA
TP-075,23,360,652754,42453,342,2014-08-04T12:09:00Z,12:09:00,4-Aug-14,2014-08-25T10:47:00Z,10:47:00,25-Aug-14,20.94305556,19,2,1,1,0,0,20,2,0,medium,NA,"right side, 580; migh not turn on",NA
TP-076,23,420,652745,42397,340,2014-08-04T12:03:00Z,12:03:00,4-Aug-14,2014-08-25T10:53:00Z,10:53:00,25-Aug-14,20.95138889,27,1,0,0,0,0,25,2,0,low,NA,"right, 577",NA
TP-077,23,480,652742,42344,333,2014-08-04T11:57:00Z,11:57:00,4-Aug-14,2014-08-25T11:00:00Z,11:00:00,25-Aug-14,20.96041667,12,3,1,0,0,0,1,0,0.5,dense,NA,"left side, 576",NA
TP-078,8,0,651690,41245,289,2014-08-05T12:46:00Z,12:46:00,5-Aug-14,2014-08-24T15:51:00Z,15:51:00,24-Aug-14,19.12847222,17,1,2,0,0,0,20,4,0,low,NA,"right, 670",NA
TP-079,8,60,651725,41205,267,2014-08-05T12:51:00Z,12:51:00,5-Aug-14,2014-08-24T15:55:00Z,15:55:00,24-Aug-14,19.12777778,25,1,0,0,0,0,34,4,0,low,NA,"right, 671",NA
TP-080,8,120,651779,41179,240,2014-08-05T13:02:00Z,13:02:00,5-Aug-14,2014-08-24T16:02:00Z,16:02:00,24-Aug-14,19.125,28,1,2,0,1,0,55,4,0,medium,NA,"left, 672",NA
TP-081,8,180,651795,41135,226,2014-08-05T13:20:00Z,13:20:00,5-Aug-14,2014-08-24T16:06:00Z,16:06:00,24-Aug-14,19.11527778,24,2,0,0,0,0,18,2,0,low,NA,"right, 673; closer to 200m",NA
TP-083,8,300,651854,41055,229,2014-08-05T13:44:00Z,13:44:00,5-Aug-14,2014-08-24T16:18:00Z,16:18:00,24-Aug-14,19.10694444,17,1,1,0,0,0,15,3,0,low,NA,"right, 675; showing B:__% error,but left it in the field on 14-Aug",NA
TP-084,8,360,651900,41024,230,2014-08-05T13:50:00Z,13:50:00,5-Aug-14,2014-08-24T16:25:00Z,16:25:00,24-Aug-14,19.10763889,18,1,2,0,0,0,36,2,0,low,NA,"right, 676",NA
TP-085,8,420,651928,40986,222,2014-08-05T13:57:00Z,13:57:00,5-Aug-14,2014-08-24T16:29:00Z,16:29:00,24-Aug-14,19.10555556,19,13,0,0,0,0,16,2,1,medium,NA,"right, 677",NA
TP-086,8,480,651969,40932,223,2014-08-05T14:22:00Z,14:22:00,5-Aug-14,2014-08-24T16:33:00Z,16:33:00,24-Aug-14,19.09097222,15,2,1,0,0,0,4,3,0,medium,NA,"right, 678",NA
TP-087,10,0,651836,42674,418,2014-08-03T14:22:00Z,14:22:00,3-Aug-14,2014-08-25T12:12:00Z,12:12:00,25-Aug-14,21.90972222,15,1,1,0,0,0,40,4,0,dense,NA,left,NA
TP-088,10,60,651887,42705,403,2014-08-03T14:55:00Z,14:55:00,3-Aug-14,2014-08-25T12:21:00Z,12:21:00,25-Aug-14,21.89305556,28,5,0,0,0,0,29,4,1,low,NA,right,NA
TP-090,10,180,651936,42788,360,2014-08-03T15:41:00Z,15:41:00,3-Aug-14,2014-08-25T12:36:00Z,12:36:00,25-Aug-14,21.87152778,12,3,2,0,0,0,2,1,0,low,NA,right,need to alter dates for some of the videos
TP-091,10,240,651933,42836,362,2014-08-03T15:49:00Z,15:49:00,3-Aug-14,2014-08-25T12:40:00Z,12:40:00,25-Aug-14,21.86875,15,2,0,0,0,0,12,1,0,medium,NA,right,NA
TP-092,10,300,651918,42896,365,2014-08-03T16:00:00Z,16:00:00,3-Aug-14,2014-08-15T11:05:00Z,11:05:00,15-Aug-14,11.79513889,25,2,0,0,0,0,20,4,0,medium,NA,"left, removed on Aug 15th to move camera to F4",NA
