trapping_period,date_video,species,class,n_animals,file_name
TP-062,8/3/2014,Sciurus sp.,mammal,1,IMG_0005 squirrel one.AVI
TP-062,8/9/2014,bird,bird,1,IMG_0015 bird one.AVI
TP-062,8/12/2014,bird,bird,1,IMG_0019 bird one.AVI
TP-063,8/3/2014,bird,bird,1,IMG_0011 bird one.AVI
TP-063,8/3/2014,bird,bird,1,IMG_0013 bird one.AVI
TP-063,8/3/2014,bird,bird,1,IMG_0014 bird one.AVI
TP-063,8/4/2014,bird,bird,1,IMG_0015 bird one.AVI
TP-063,8/19/2014,Sciurus sp.,mammal,1,IMG_0015 squirrel one.AVI
TP-063,8/23/2014,Nasua narica,mammal,2,IMG_0017 coati two.AVI
TP-063,8/6/2014,bird,bird,1,IMG_0020 bird one.AVI
TP-063,8/9/2014,Puma yagouaroundi,mammal,1,IMG_0035 jaguarundi one.AVI
TP-064,8/4/2014,quail,bird,6,IMG_0013 quail six.AVI
TP-064,8/5/2014,quail,bird,3,IMG_0016 quail three.AVI
TP-064,8/8/2014,Nasua narica,mammal,1,IMG_0022 coati one.AVI
TP-065,8/3/2014,Sciurus sp.,mammal,1,IMG_0034 squirrel one.AVI
TP-065,8/6/2014,Sciurus sp.,mammal,1,IMG_0036 squirrel one.AVI
TP-065,8/8/2014,Sciurus sp.,mammal,1,IMG_0037 squirrel one.AVI
TP-065,8/9/2014,Leopardus pardalis,mammal,1,IMG_0038 ocelot one good.AVI
TP-066,8/4/2014,bird,bird,1,IMG_0052 bird one.AVI
TP-066,8/5/2014,Philander sp.,mammal,4,IMG_0054 four-eye one.AVI
TP-066,8/6/2014,Cuniculus paca,mammal,1,IMG_0057 paca one.AVI
TP-066,8/13/2014,Dasyprocta punctata,mammal,1,IMG_0060 agouti one.AVI
TP-066,8/13/2014,bird,bird,1,IMG_0061 bird one (2).AVI
TP-066,8/7/2014,bird,bird,1,IMG_0061 bird one.AVI
TP-066,8/8/2014,Philander sp.,mammal,4,IMG_0063 four-eye one.AVI
TP-066,8/15/2014,bird,bird,1,IMG_0064 bird one.AVI
TP-066,8/15/2014,bird,bird,1,IMG_0065 bird one.AVI
TP-066,8/15/2014,quail,bird,3,IMG_0066 quail three.AVI
TP-066,8/15/2014,quail,bird,3,IMG_0067 quail three.AVI
TP-066,8/15/2014,quail,bird,7,IMG_0068 quail seven.AVI
TP-066,8/15/2014,quail,bird,1,IMG_0070 quail one.AVI
TP-066,8/17/2014,bird,bird,2,IMG_0074 bird two.AVI
TP-066,8/18/2014,Sciurus sp.,mammal,1,IMG_0078 squirrel one.AVI
TP-066,8/21/2014,Leopardus pardalis,mammal,1,IMG_0080 ocelot one.AVI
TP-066,8/22/2014,Dasypus novemcinctus,mammal,1,IMG_0082 nine-banded one.AVI
TP-066,8/9/2014,Leopardus pardalis,mammal,1,IMG_0082 ocelot one.AVI
TP-066,8/22/2014,bird,bird,1,IMG_0083 bird one.AVI
TP-066,8/9/2014,Leopardus pardalis,mammal,1,IMG_0083 ocelot one.AVI
TP-066,8/10/2014,Dasyprocta punctata,mammal,1,IMG_0085 agouti one.AVI
TP-066,8/10/2014,Dasyprocta punctata,mammal,1,IMG_0086 agouti one.AVI
TP-066,8/10/2014,bird,bird,1,IMG_0087 bird one.AVI
TP-066,8/11/2014,Philander sp.,mammal,4,IMG_0088 four-eye one.AVI
TP-066,8/11/2014,Philander sp.,mammal,4,IMG_0089 four-eye one.AVI
